City,Date,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Mean Apparent Temp (°C),Sunrise,Sunset,Max Wind Speed (10m) (km/h),Max Wind Gusts (10m) (km/h),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),PM10,PM2.5,NO,NO2,O3,SO2,CO,NH3,AQI
Islamabad,2024-01-01,16.3,8.6,13.3,14.2,6.3,11.5,2024-01-01T07:12,2024-01-01T17:10,11.9,24.1,341,10.49,366.85125,322.74541666666664,58.7525,112.47124999999998,21.003749999999997,25.317083333333333,4813.193749999999,51.81999999999999,5.0
Islamabad,2024-01-02,15.8,7.9,12.3,15.0,6.1,10.9,2024-01-02T07:13,2024-01-02T17:10,7.3,14.4,120,10.11,484.7366666666666,425.76125,94.88333333333334,147.20208333333332,13.239999999999997,35.89208333333334,6907.145,51.72958333333333,5.0
Islamabad,2024-01-03,14.6,7.3,9.9,13.2,5.3,8.4,2024-01-03T07:13,2024-01-03T17:11,9.4,20.2,17,9.87,602.5479166666667,544.99375,95.28333333333332,150.6866666666667,19.524166666666666,40.80458333333333,7481.256250000001,52.64249999999999,5.0
Islamabad,2024-01-04,14.8,6.8,10.5,13.4,4.9,8.9,2024-01-04T07:13,2024-01-04T17:12,8.4,19.8,341,9.33,469.63249999999994,418.28291666666655,97.66749999999998,132.80666666666664,12.747916666666667,29.24625,6457.645416666667,58.749583333333334,5.0
Islamabad,2024-01-05,15.9,7.3,11.8,14.8,5.3,10.2,2024-01-05T07:13,2024-01-05T17:13,8.2,13.0,331,10.18,483.22666666666663,433.9279166666666,104.545,147.40041666666667,11.268749999999999,33.65583333333333,6729.126666666666,60.02541666666668,5.0
Islamabad,2024-01-06,15.6,6.1,10.6,14.1,3.2,8.8,2024-01-06T07:13,2024-01-06T17:14,10.8,16.2,331,10.07,413.26375,372.79833333333335,47.41416666666668,121.23791666666669,20.60083333333333,21.80583333333334,4925.569166666667,43.75625,5.0
Islamabad,2024-01-07,15.2,8.9,11.7,14.1,6.4,10.0,2024-01-07T07:13,2024-01-07T17:15,5.9,15.5,327,10.41,483.1458333333334,436.3575,76.59166666666668,159.1966666666667,22.862499999999997,31.15875,6662.368333333333,61.81041666666667,5.0
Islamabad,2024-01-08,15.1,7.3,10.7,13.8,5.1,8.9,2024-01-08T07:13,2024-01-08T17:15,8.1,14.8,331,10.85,500.8991666666668,452.0575000000001,73.85458333333335,142.00291666666666,21.08875,29.795416666666668,6309.667916666665,44.410833333333336,5.0
Islamabad,2024-01-09,15.1,7.0,10.9,13.1,4.0,8.8,2024-01-09T07:13,2024-01-09T17:16,10.6,18.4,338,10.7,295.09,261.57,1.31,65.12,5.1,5.19,2723.69,13.3,5.0
Islamabad,2024-01-10,15.2,6.6,10.5,12.4,3.4,7.9,2024-01-10T07:13,2024-01-10T17:17,14.5,28.4,328,11.15,333.2891304347826,294.66043478260866,27.51695652173914,87.51478260869564,42.69826086956521,14.348695652173912,3748.8526086956535,29.458695652173905,5.0
Islamabad,2024-01-11,16.9,7.2,11.7,15.1,3.9,9.5,2024-01-11T07:13,2024-01-11T17:18,11.2,18.0,0,11.16,437.02500000000003,385.37375,101.42666666666666,166.45041666666665,21.70958333333333,34.34208333333333,7163.0475,56.987083333333345,5.0
Islamabad,2024-01-12,15.1,5.5,10.7,13.0,2.0,8.2,2024-01-12T07:13,2024-01-12T17:19,11.5,23.4,340,8.11,414.1254166666666,357.7754166666666,104.06166666666668,124.55333333333336,16.779583333333335,18.725416666666664,6492.694166666667,36.19916666666666,5.0
Islamabad,2024-01-13,17.0,7.0,11.8,15.9,4.2,10.1,2024-01-13T07:13,2024-01-13T17:20,8.3,13.3,105,11.15,554.9754166666667,501.8645833333334,60.878750000000004,148.74291666666664,42.256249999999994,54.79708333333335,6369.749999999999,42.63333333333333,5.0
Islamabad,2024-01-14,15.8,5.1,11.2,13.2,1.7,8.7,2024-01-14T07:13,2024-01-14T17:21,13.4,26.6,332,11.35,417.4983333333332,376.97874999999993,30.518749999999997,105.98083333333335,34.27208333333334,17.946250000000003,4481.634999999999,39.24833333333333,5.0
Islamabad,2024-01-15,17.1,7.0,12.5,14.7,3.8,10.1,2024-01-15T07:13,2024-01-15T17:21,15.3,27.0,8,11.54,417.26708333333335,371.73125,48.08458333333332,100.11874999999998,23.99625,20.591666666666665,4777.590833333333,38.045833333333334,5.0
Islamabad,2024-01-16,15.5,6.2,10.6,14.2,3.8,8.5,2024-01-16T07:12,2024-01-16T17:22,15.0,27.4,86,11.23,546.2062500000001,481.85083333333324,74.70875,134.54916666666668,20.836666666666666,38.75291666666667,6289.6412500000015,46.478333333333325,5.0
Islamabad,2024-01-17,16.4,8.0,13.1,14.4,5.0,11.1,2024-01-17T07:12,2024-01-17T17:23,10.5,22.3,325,11.48,530.6137500000001,460.4295833333333,82.80583333333334,153.54208333333335,24.266666666666666,35.57458333333334,6798.107500000001,59.583333333333336,5.0
Islamabad,2024-01-18,16.8,10.4,13.8,14.4,8.3,11.7,2024-01-18T07:12,2024-01-18T17:24,10.1,22.3,321,11.69,470.17875,407.1933333333333,64.26416666666667,143.2308333333333,25.786250000000006,35.96666666666667,5873.522083333333,64.36500000000002,5.0
Islamabad,2024-01-19,16.9,7.2,12.8,14.4,4.3,10.4,2024-01-19T07:11,2024-01-19T17:25,18.1,31.7,45,11.87,461.0645833333333,404.94875,58.209583333333335,115.82708333333333,30.462500000000006,24.999583333333334,5407.333333333333,40.72458333333332,5.0
